standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 12169,IS 12169 : 1987,IS 12169 : 1987,1987,3556,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12169&id=3556,https://archive.org/search?query=title%3A%22IS%2012169%22
IS 12169 Amd. 1,IS 12169 Amd. 1 : 2008,IS 12169 Amd. 1 : 2008,2008,25595,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12169+Amd.+1&id=25595,https://archive.org/search?query=title%3A%22IS%2012169%20Amd.%201%22
IS 1217,IS 1217 : 2024,IS 1217 : 2024,2024,51006,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1217&id=51006,https://archive.org/search?query=title%3A%22IS%201217%22
IS 12170,IS 12170 : 1987,IS 12170 : 1987,1987,3557,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12170&id=3557,https://archive.org/search?query=title%3A%22IS%2012170%22
IS 12171,IS 12171 : 2024,IS 12171 : 2024,2024,49035,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12171&id=49035,https://archive.org/search?query=title%3A%22IS%2012171%22
"IS 12171 (Active,Concurrent Running)","IS 12171 (Active,Concurrent Running) : 2019","IS 12171 (Active,Concurrent Running) : 2019",2019,49274,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12171+(Active%2cConcurrent+Running)&id=49274,https://archive.org/search?query=title%3A%22IS%2012171%20%28Active%2CConcurrent%20Running%29%22
IS 12171 Amd. 1,IS 12171 Amd. 1 : 2026,IS 12171 Amd. 1 : 2026,2026,53973,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12171+Amd.+1&id=53973,https://archive.org/search?query=title%3A%22IS%2012171%20Amd.%201%22
IS 12172,IS 12172 : 1987,IS 12172 : 1987,1987,3558,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12172&id=3558,https://archive.org/search?query=title%3A%22IS%2012172%22
IS 12173,IS 12173 : 1987,IS 12173 : 1987,1987,3559,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12173&id=3559,https://archive.org/search?query=title%3A%22IS%2012173%22
IS 12174,IS 12174 : 1987,IS 12174 : 1987,1987,3560,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12174&id=3560,https://archive.org/search?query=title%3A%22IS%2012174%22
IS 12174 Amd. 1,IS 12174 Amd. 1 : 2005,IS 12174 Amd. 1 : 2005,2005,25596,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12174+Amd.+1&id=25596,https://archive.org/search?query=title%3A%22IS%2012174%20Amd.%201%22
IS 12175,IS 12175 : 2025,IS 12175 : 2025,2025,52407,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12175&id=52407,https://archive.org/search?query=title%3A%22IS%2012175%22
IS 12176,IS 12176 : 1987,IS 12176 : 1987,1987,3562,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12176&id=3562,https://archive.org/search?query=title%3A%22IS%2012176%22
IS 12177,IS 12177 : 1987,IS 12177 : 1987,1987,3563,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12177&id=3563,https://archive.org/search?query=title%3A%22IS%2012177%22
IS 12177 Amd. 1,IS 12177 Amd. 1 : 2010,IS 12177 Amd. 1 : 2010,2010,25597,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12177+Amd.+1&id=25597,https://archive.org/search?query=title%3A%22IS%2012177%20Amd.%201%22
IS 12178,IS 12178 : 2022,IS 12178 : 2022,2022,46482,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12178&id=46482,https://archive.org/search?query=title%3A%22IS%2012178%22
IS 12179,IS 12179 : 1987,IS 12179 : 1987,1987,18353,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12179&id=18353,https://archive.org/search?query=title%3A%22IS%2012179%22
IS 1218,IS 1218 : 1978,IS 1218 : 1978,1978,18354,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1218&id=18354,https://archive.org/search?query=title%3A%22IS%201218%22
IS 1218 Amd. 1,IS 1218 Amd. 1 : 2008,IS 1218 Amd. 1 : 2008,2008,31736,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1218+Amd.+1&id=31736,https://archive.org/search?query=title%3A%22IS%201218%20Amd.%201%22
IS 1218 Amd. 2,IS 1218 Amd. 2 : 2008,IS 1218 Amd. 2 : 2008,2008,31737,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1218+Amd.+2&id=31737,https://archive.org/search?query=title%3A%22IS%201218%20Amd.%202%22
IS 12180,IS 12180 : 1987,IS 12180 : 1987,1987,3565,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180&id=3565,https://archive.org/search?query=title%3A%22IS%2012180%22
IS 12180 : Part 1,IS 12180 : Part 1 : 2024,IS 12180 : Part 1 : 2024,2024,49593,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180+%3a+Part+1&id=49593,https://archive.org/search?query=title%3A%22IS%2012180%20%3A%20Part%201%22
"IS 12180 : Part 1 (Active,Concurrent Running)","IS 12180 : Part 1 (Active,Concurrent Running) : 2000","IS 12180 : Part 1 (Active,Concurrent Running) : 2000",2000,49800,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180+%3a+Part+1+(Active%2cConcurrent+Running)&id=49800,https://archive.org/search?query=title%3A%22IS%2012180%20%3A%20Part%201%20%28Active%2CConcurrent%20Running%29%22
IS 12180 : Part 2,IS 12180 : Part 2 : 2024,IS 12180 : Part 2 : 2024,2024,49594,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180+%3a+Part+2&id=49594,https://archive.org/search?query=title%3A%22IS%2012180%20%3A%20Part%202%22
"IS 12180 : Part 2 (Active,Concurrent Running)","IS 12180 : Part 2 (Active,Concurrent Running) : 2000","IS 12180 : Part 2 (Active,Concurrent Running) : 2000",2000,49796,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180+%3a+Part+2+(Active%2cConcurrent+Running)&id=49796,https://archive.org/search?query=title%3A%22IS%2012180%20%3A%20Part%202%20%28Active%2CConcurrent%20Running%29%22
IS 12180 Amd. 1,IS 12180 Amd. 1 : 1998,IS 12180 Amd. 1 : 1998,1998,25598,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12180+Amd.+1&id=25598,https://archive.org/search?query=title%3A%22IS%2012180%20Amd.%201%22
IS 12181,IS 12181 : 2018,IS 12181 : 2018,2018,3568,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12181&id=3568,https://archive.org/search?query=title%3A%22IS%2012181%22
IS 12182,IS 12182 : 2025,IS 12182 : 2025,2025,52750,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12182&id=52750,https://archive.org/search?query=title%3A%22IS%2012182%22
IS 12183 : Part 1,IS 12183 : Part 1 : 1987,IS 12183 : Part 1 : 1987,1987,3570,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12183+%3a+Part+1&id=3570,https://archive.org/search?query=title%3A%22IS%2012183%20%3A%20Part%201%22
IS 12184,IS 12184 : 1987,IS 12184 : 1987,1987,3571,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12184&id=3571,https://archive.org/search?query=title%3A%22IS%2012184%22
IS 12184 Amd. 1,IS 12184 Amd. 1 : 1994,IS 12184 Amd. 1 : 1994,1994,25600,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12184+Amd.+1&id=25600,https://archive.org/search?query=title%3A%22IS%2012184%20Amd.%201%22
IS 12185,IS 12185 : 2026,IS 12185 : 2026,2026,55460,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12185&id=55460,https://archive.org/search?query=title%3A%22IS%2012185%22
IS 12185 - (Active),IS 12185 - (Active) : 1987,IS 12185 - (Active) : 1987,1987,3572,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12185+-+(Active)&id=3572,https://archive.org/search?query=title%3A%22IS%2012185%20-%20%28Active%29%22
IS 12186,IS 12186 : 1987,IS 12186 : 1987,1987,3573,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12186&id=3573,https://archive.org/search?query=title%3A%22IS%2012186%22
IS 12187,IS 12187 : 1987,IS 12187 : 1987,1987,3574,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12187&id=3574,https://archive.org/search?query=title%3A%22IS%2012187%22
IS 12187 Amd. 1,IS 12187 Amd. 1 : 2002,IS 12187 Amd. 1 : 2002,2002,25601,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12187+Amd.+1&id=25601,https://archive.org/search?query=title%3A%22IS%2012187%20Amd.%201%22
IS 12188,IS 12188 : 1987,IS 12188 : 1987,1987,3575,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12188&id=3575,https://archive.org/search?query=title%3A%22IS%2012188%22
IS 12189,IS 12189 : 2023,IS 12189 : 2023,2023,49054,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12189&id=49054,https://archive.org/search?query=title%3A%22IS%2012189%22
"IS 12189 (Active,Concurrent Running)","IS 12189 (Active,Concurrent Running) : 1987","IS 12189 (Active,Concurrent Running) : 1987",1987,49179,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12189+(Active%2cConcurrent+Running)&id=49179,https://archive.org/search?query=title%3A%22IS%2012189%20%28Active%2CConcurrent%20Running%29%22
IS 1219,IS 1219 : 1978,IS 1219 : 1978,1978,18355,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1219&id=18355,https://archive.org/search?query=title%3A%22IS%201219%22
IS 12190,IS 12190 : 2024,IS 12190 : 2024,2024,51345,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12190&id=51345,https://archive.org/search?query=title%3A%22IS%2012190%22
IS 12191,IS 12191 : 1987,IS 12191 : 1987,1987,3578,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12191&id=3578,https://archive.org/search?query=title%3A%22IS%2012191%22
IS 12192,IS 12192 : 1993,IS 12192 : 1993,1993,3579,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12192&id=3579,https://archive.org/search?query=title%3A%22IS%2012192%22
IS 12193 : Part 1,IS 12193 : Part 1 : 1989,IS 12193 : Part 1 : 1989,1989,3580,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12193+%3a+Part+1&id=3580,https://archive.org/search?query=title%3A%22IS%2012193%20%3A%20Part%201%22
IS 12193 : Part 2,IS 12193 : Part 2 : 2026,IS 12193 : Part 2 : 2026,2026,54121,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12193+%3a+Part+2&id=54121,https://archive.org/search?query=title%3A%22IS%2012193%20%3A%20Part%202%22
IS 12193 : Part 2 - (Active),IS 12193 : Part 2 - (Active) : 1987,IS 12193 : Part 2 - (Active) : 1987,1987,3581,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12193+%3a+Part+2+-+(Active)&id=3581,https://archive.org/search?query=title%3A%22IS%2012193%20%3A%20Part%202%20-%20%28Active%29%22
IS 12193 : Part 3,IS 12193 : Part 3 : 2012,IS 12193 : Part 3 : 2012,2012,3582,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12193+%3a+Part+3&id=3582,https://archive.org/search?query=title%3A%22IS%2012193%20%3A%20Part%203%22
IS 12194,IS 12194 : 1987,IS 12194 : 1987,1987,18356,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12194&id=18356,https://archive.org/search?query=title%3A%22IS%2012194%22
IS 12195 : Part 1 : Sec 1,IS 12195 : Part 1 : Sec 1 : 1987,IS 12195 : Part 1 : Sec 1 : 1987,1987,3583,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12195+%3a+Part+1+%3a+Sec+1&id=3583,https://archive.org/search?query=title%3A%22IS%2012195%20%3A%20Part%201%20%3A%20Sec%201%22
IS 12195 : Part 1 : Sec 2,IS 12195 : Part 1 : Sec 2 : 1987,IS 12195 : Part 1 : Sec 2 : 1987,1987,18357,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12195+%3a+Part+1+%3a+Sec+2&id=18357,https://archive.org/search?query=title%3A%22IS%2012195%20%3A%20Part%201%20%3A%20Sec%202%22
IS 12196,IS 12196 : 1988,IS 12196 : 1988,1988,18358,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12196&id=18358,https://archive.org/search?query=title%3A%22IS%2012196%22
IS 12197,IS 12197 : 1987,IS 12197 : 1987,1987,3584,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12197&id=3584,https://archive.org/search?query=title%3A%22IS%2012197%22
IS 12198,IS 12198 : 2023,IS 12198 : 2023,2023,47696,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12198&id=47696,https://archive.org/search?query=title%3A%22IS%2012198%22
IS 12199,IS 12199 : 1987,IS 12199 : 1987,1987,3586,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12199&id=3586,https://archive.org/search?query=title%3A%22IS%2012199%22
IS 12199,IS 12199 : 1987,IS 12199 : 1987,1987,21213,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12199&id=21213,https://archive.org/search?query=title%3A%22IS%2012199%22
IS 122,IS 122 : 1962,IS 122 : 1962,1962,18359,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+122&id=18359,https://archive.org/search?query=title%3A%22IS%20122%22
IS 1220,IS 1220 : 1978,IS 1220 : 1978,1978,18360,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1220&id=18360,https://archive.org/search?query=title%3A%22IS%201220%22
IS 12200,IS 12200 : 2001,IS 12200 : 2001,2001,3587,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12200&id=3587,https://archive.org/search?query=title%3A%22IS%2012200%22
IS 12201,IS 12201 : 2025,IS 12201 : 2025,2025,52408,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12201&id=52408,https://archive.org/search?query=title%3A%22IS%2012201%22
IS 12202,IS 12202 : 1987,IS 12202 : 1987,1987,3589,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12202&id=3589,https://archive.org/search?query=title%3A%22IS%2012202%22
IS 12203,IS 12203 : 2025,IS 12203 : 2025,2025,53294,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12203&id=53294,https://archive.org/search?query=title%3A%22IS%2012203%22
IS 12204,IS 12204 : 1987,IS 12204 : 1987,1987,3591,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12204&id=3591,https://archive.org/search?query=title%3A%22IS%2012204%22
IS 12205,IS 12205 : 1988,IS 12205 : 1988,1988,3592,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12205&id=3592,https://archive.org/search?query=title%3A%22IS%2012205%22
IS 12206,IS 12206 : 1993,IS 12206 : 1993,1993,3593,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12206&id=3593,https://archive.org/search?query=title%3A%22IS%2012206%22
IS 12207,IS 12207 : 2022,IS 12207 : 2022,2022,46232,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12207&id=46232,https://archive.org/search?query=title%3A%22IS%2012207%22
IS 12208,IS 12208 : 1987,IS 12208 : 1987,1987,3595,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12208&id=3595,https://archive.org/search?query=title%3A%22IS%2012208%22
IS 12209,IS 12209 : 1993,IS 12209 : 1993,1993,3596,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12209&id=3596,https://archive.org/search?query=title%3A%22IS%2012209%22
IS 1221,IS 1221 : 2023,IS 1221 : 2023,2023,47863,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1221&id=47863,https://archive.org/search?query=title%3A%22IS%201221%22
IS 12210,IS 12210 : 2023,IS 12210 : 2023,2023,48149,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12210&id=48149,https://archive.org/search?query=title%3A%22IS%2012210%22
IS 12211,IS 12211 : 2024,IS 12211 : 2024,2024,50478,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12211&id=50478,https://archive.org/search?query=title%3A%22IS%2012211%22
IS 12212,IS 12212 : 1987,IS 12212 : 1987,1987,3600,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12212&id=3600,https://archive.org/search?query=title%3A%22IS%2012212%22
IS 12212 Amd. 1,IS 12212 Amd. 1 : 1997,IS 12212 Amd. 1 : 1997,1997,25607,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12212+Amd.+1&id=25607,https://archive.org/search?query=title%3A%22IS%2012212%20Amd.%201%22
IS 12213,IS 12213 : 2025,IS 12213 : 2025,2025,52203,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12213&id=52203,https://archive.org/search?query=title%3A%22IS%2012213%22
IS 12214,IS 12214 : 1987,IS 12214 : 1987,1987,3602,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12214&id=3602,https://archive.org/search?query=title%3A%22IS%2012214%22
IS 12215,IS 12215 : 1987,IS 12215 : 1987,1987,3603,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12215&id=3603,https://archive.org/search?query=title%3A%22IS%2012215%22
IS 12216,IS 12216 : 1987,IS 12216 : 1987,1987,18361,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12216&id=18361,https://archive.org/search?query=title%3A%22IS%2012216%22
IS 12217,IS 12217 : 1987,IS 12217 : 1987,1987,18362,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12217&id=18362,https://archive.org/search?query=title%3A%22IS%2012217%22
IS 12218,IS 12218 : 2018,IS 12218 : 2018,2018,3604,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12218&id=3604,https://archive.org/search?query=title%3A%22IS%2012218%22
IS 12219,IS 12219 : 1987,IS 12219 : 1987,1987,3605,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12219&id=3605,https://archive.org/search?query=title%3A%22IS%2012219%22
IS 1222,IS 1222 : 1992,IS 1222 : 1992,1992,3606,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1222&id=3606,https://archive.org/search?query=title%3A%22IS%201222%22
IS 1222 Amd. 1,IS 1222 Amd. 1 : 2005,IS 1222 Amd. 1 : 2005,2005,25608,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+1222+Amd.+1&id=25608,https://archive.org/search?query=title%3A%22IS%201222%20Amd.%201%22
IS 12220,IS 12220 : 1987,IS 12220 : 1987,1987,3607,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12220&id=3607,https://archive.org/search?query=title%3A%22IS%2012220%22
IS 12221,IS 12221 : 1987,IS 12221 : 1987,1987,3608,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12221&id=3608,https://archive.org/search?query=title%3A%22IS%2012221%22
IS 12222,IS 12222 : 2011,IS 12222 : 2011,2011,3609,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12222&id=3609,https://archive.org/search?query=title%3A%22IS%2012222%22
IS 12222 Amd. 1,IS 12222 Amd. 1 : 2016,IS 12222 Amd. 1 : 2016,2016,25610,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12222+Amd.+1&id=25610,https://archive.org/search?query=title%3A%22IS%2012222%20Amd.%201%22
IS 12222 Amd. 2,IS 12222 Amd. 2 : 2018,IS 12222 Amd. 2 : 2018,2018,25609,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12222+Amd.+2&id=25609,https://archive.org/search?query=title%3A%22IS%2012222%20Amd.%202%22
IS 12223 : Part 1,IS 12223 : Part 1 : 1987,IS 12223 : Part 1 : 1987,1987,3610,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12223+%3a+Part+1&id=3610,https://archive.org/search?query=title%3A%22IS%2012223%20%3A%20Part%201%22
IS 12223 : Part 2,IS 12223 : Part 2 : 1989,IS 12223 : Part 2 : 1989,1989,3611,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12223+%3a+Part+2&id=3611,https://archive.org/search?query=title%3A%22IS%2012223%20%3A%20Part%202%22
IS 12224,IS 12224 : 2025,IS 12224 : 2025,2025,53185,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+12224&id=53185,https://archive.org/search?query=title%3A%22IS%2012224%22
